event_year,source_type,qian_auto_label,n
2023,csmar_investor_interaction,keep_candidate_strong_specific_initiative,1640
2023,csmar_investor_interaction,review_ambiguous_strict_genai,337
2023,csmar_investor_interaction,review_possible_specific_initiative,711
2023,csmar_investor_interaction;csmar_ir_meeting_qa,keep_candidate_strong_specific_initiative,74
2023,csmar_investor_interaction;csmar_ir_meeting_qa,review_ambiguous_strict_genai,2
2023,csmar_investor_interaction;csmar_ir_meeting_qa,review_possible_specific_initiative,15
2023,csmar_ir_meeting_qa,keep_candidate_strong_specific_initiative,675
2023,csmar_ir_meeting_qa,review_ambiguous_strict_genai,265
2023,csmar_ir_meeting_qa,review_possible_specific_initiative,264
2023,formal_cninfo_announcement,keep_candidate_strong_specific_initiative,9
2023,supplemental_irqa_answer,review_ambiguous_strict_genai,4
2024,csmar_investor_interaction,keep_candidate_strong_specific_initiative,1539
2024,csmar_investor_interaction,review_ambiguous_strict_genai,293
2024,csmar_investor_interaction,review_possible_specific_initiative,594
2024,csmar_investor_interaction;csmar_ir_meeting_qa,keep_candidate_strong_specific_initiative,43
2024,csmar_investor_interaction;csmar_ir_meeting_qa,review_possible_specific_initiative,8
2024,csmar_ir_meeting_qa,keep_candidate_strong_specific_initiative,742
2024,csmar_ir_meeting_qa,review_ambiguous_strict_genai,332
2024,csmar_ir_meeting_qa,review_possible_specific_initiative,270
2024,formal_cninfo_announcement,keep_candidate_strong_specific_initiative,5
2025,csmar_investor_interaction,keep_candidate_strong_specific_initiative,2066
2025,csmar_investor_interaction,review_ambiguous_strict_genai,426
2025,csmar_investor_interaction,review_possible_specific_initiative,1025
2025,csmar_investor_interaction;csmar_ir_meeting_qa,keep_candidate_strong_specific_initiative,63
2025,csmar_investor_interaction;csmar_ir_meeting_qa,review_ambiguous_strict_genai,3
2025,csmar_investor_interaction;csmar_ir_meeting_qa,review_possible_specific_initiative,9
2025,csmar_ir_meeting_qa,keep_candidate_strong_specific_initiative,1354
2025,csmar_ir_meeting_qa,review_ambiguous_strict_genai,589
2025,csmar_ir_meeting_qa,review_possible_specific_initiative,372
2025,formal_cninfo_announcement,keep_candidate_strong_specific_initiative,3
2025,supplemental_irqa_answer,review_ambiguous_strict_genai,2
2026,csmar_investor_interaction,keep_candidate_strong_specific_initiative,497
2026,csmar_investor_interaction,review_ambiguous_strict_genai,121
2026,csmar_investor_interaction,review_possible_specific_initiative,188
2026,csmar_investor_interaction;csmar_ir_meeting_qa,keep_candidate_strong_specific_initiative,11
2026,csmar_investor_interaction;csmar_ir_meeting_qa,review_ambiguous_strict_genai,3
2026,csmar_investor_interaction;csmar_ir_meeting_qa,review_possible_specific_initiative,1
2026,csmar_ir_meeting_qa,keep_candidate_strong_specific_initiative,314
2026,csmar_ir_meeting_qa,review_ambiguous_strict_genai,197
2026,csmar_ir_meeting_qa,review_possible_specific_initiative,123
2026,supplemental_irqa_answer,keep_candidate_strong_specific_initiative,494
2026,supplemental_irqa_answer,review_ambiguous_strict_genai,160
2026,supplemental_irqa_answer,review_possible_specific_initiative,167
