query_scope,query_terms,sec_code_raw,sec_code,sec_name,org_id,announcement_id,announcement_title,announcement_date,announcement_time_ms,adjunct_url,pdf_url,adjunct_size,adjunct_type,page_column,column_id
szse_a,大模型;大语言模型,300418,300418,昆仑万维,9900023869,1216367373,关于发布大语言模型“天工”3.5的公告,2023-04-10,1681114583000,finalpage/2023-04-10/1216367373.PDF,https://static.cninfo.com.cn/finalpage/2023-04-10/1216367373.PDF,151,PDF,SZCY,09020202||160203||250301||251302
szse_a,大模型,002230,002230,科大讯飞,9900004565,1216436018,关于举办业绩说明会及认知大模型成果发布会的公告,2023-04-17,1681747200000,finalpage/2023-04-18/1216436018.PDF,https://static.cninfo.com.cn/finalpage/2023-04-18/1216436018.PDF,174,PDF,SZZB,09020202||250101||251302
szse_a,人工智能,000925,000925,众合科技,gssz0000925,1216516374,关于与专业投资机构合作开展围绕物联网与人工智能领域基金投资的进展公告之四,2023-04-21,1682092800000,finalpage/2023-04-22/1216516374.PDF,https://static.cninfo.com.cn/finalpage/2023-04-22/1216516374.PDF,437,PDF,SZZB,09020202||250101||251302
szse_a,人工智能,002065,002065,东华软件,9900000405,1216517202,关于全资子公司投标“沈阳人工智能计算中心二期扩容项目”中标结果的公告,2023-04-21,1682092800000,finalpage/2023-04-22/1216517202.PDF,https://static.cninfo.com.cn/finalpage/2023-04-22/1216517202.PDF,163,PDF,SZZB,09020202||250101||251302
szse_a,人工智能,300081,300081,恒信东方,9900012108,1216555958,人工智能算力中心平台建设及运营项目可行性研究报告,2023-04-24,1682337316000,finalpage/2023-04-24/1216555958.PDF,https://static.cninfo.com.cn/finalpage/2023-04-24/1216555958.PDF,455,PDF,SZCY,09020202||160203||250301||251302
szse_a,大模型;星火认知;讯飞星火,002230,002230,科大讯飞,9900004565,1216758016,关于讯飞星火认知大模型成果发布会的提示性公告,2023-05-05,1683302400000,finalpage/2023-05-06/1216758016.PDF,https://static.cninfo.com.cn/finalpage/2023-05-06/1216758016.PDF,119,PDF,SZZB,09020202||250101||251302
szse_a,人工智能,300288,300288,朗玛信息,9900021632,1216811847,关于召开国家健康医疗大数据西部中心人工智能建设成果——“朗玛·39AI全科医生”发布会的提示性公告,2023-05-12,1683895104000,finalpage/2023-05-12/1216811847.PDF,https://static.cninfo.com.cn/finalpage/2023-05-12/1216811847.PDF,86,PDF,SZCY,09020202||160203||250301||251302
szse_a,人工智能,300288,300288,朗玛信息,9900021632,1216926420,关于召开国家健康医疗大数据西部中心人工智能建设成果——“朗玛·39AI全科医生”发布会的公告,2023-05-28,1685289600000,finalpage/2023-05-29/1216926420.PDF,https://static.cninfo.com.cn/finalpage/2023-05-29/1216926420.PDF,109,PDF,SZCY,09020202||160203||250301||251302
szse_a,大模型;星火认知;讯飞星火,002230,002230,科大讯飞,9900004565,1217002411,关于讯飞星火认知大模型升级发布会的提示性公告,2023-06-06,1686067200000,finalpage/2023-06-07/1217002411.PDF,https://static.cninfo.com.cn/finalpage/2023-06-07/1217002411.PDF,119,PDF,SZZB,09020202||250101||251302
szse_a,人工智能,002065,002065,东华软件,9900000405,1217227945,关于全资子公司收到“武汉人工智能计算中心项目扩容(三期)”中标通知书的公告,2023-07-06,1688659200000,finalpage/2023-07-07/1217227945.PDF,https://static.cninfo.com.cn/finalpage/2023-07-07/1217227945.PDF,129,PDF,SZZB,09020202||250101||251302
szse_a,大模型,300275,300275,梅安森,9900021354,1217466857,关于自愿披露共建矿山安全大模型联合实验室合作协议的公告,2023-08-04,1691164800000,finalpage/2023-08-05/1217466857.PDF,https://static.cninfo.com.cn/finalpage/2023-08-05/1217466857.PDF,200,PDF,SZCY,09020202||160203||250301||251302
szse_a,大模型;星火认知;讯飞星火,002230,002230,科大讯飞,9900004565,1217529975,关于讯飞星火认知大模型升级发布会的提示性公告,2023-08-14,1692028800000,finalpage/2023-08-15/1217529975.PDF,https://static.cninfo.com.cn/finalpage/2023-08-15/1217529975.PDF,213,PDF,SZZB,09020202||250101||251302
szse_a,大模型,002362,002362,汉王科技,9900010769,1218014039,关于召开汉王天地大模型阶段成果发布会的提示性公告,2023-10-11,1697040000000,finalpage/2023-10-12/1218014039.PDF,https://static.cninfo.com.cn/finalpage/2023-10-12/1218014039.PDF,260,PDF,SZZB,09020202||250101||251302
sse_a,人工智能,600797,600797,浙大网新,gssh0600797,1218188858,浙大网新科技股份有限公司关于建设浙大网新人工智能产业园为江苏业务总部的公告,2023-10-27,1698422400000,finalpage/2023-10-28/1218188858.PDF,https://static.cninfo.com.cn/finalpage/2023-10-28/1218188858.PDF,548,PDF,SHZB,250401||251302
szse_a,大模型;模型备案,300288,300288,朗玛信息,9900021632,1218382554,关于“39AI全科医生”大模型备案通过的公告,2023-11-20,1700482586000,finalpage/2023-11-20/1218382554.PDF,https://static.cninfo.com.cn/finalpage/2023-11-20/1218382554.PDF,154,PDF,SZCY,09020202||160203||250301||251302
szse_a,人工智能,002152,002152,广电运通,9900003423,1218392253,关于广州数据集团人工智能公共算力中心建设项目设备及配套服务采购项目成交候选人公示的提示性公告,2023-11-21,1700582400000,finalpage/2023-11-22/1218392253.PDF,https://static.cninfo.com.cn/finalpage/2023-11-22/1218392253.PDF,108,PDF,SZZB,09020202||250101||251302
szse_a,人工智能,002152,002152,广电运通,9900003423,1218719837,关于承接广州数据集团人工智能公共算力中心建设项目设备及配套服务采购项目暨关联交易的公告,2023-12-25,1703520000000,finalpage/2023-12-26/1218719837.PDF,https://static.cninfo.com.cn/finalpage/2023-12-26/1218719837.PDF,144,PDF,SZZB,09020202||250101||251302
szse_a,人工智能,002973,002973,侨银股份,9900037236,1219044121,关于与多家科研院所签署人工智能相关战略协议并共同成立侨银数智城市研究院的公告,2024-01-30,1706630400000,finalpage/2024-01-31/1219044121.PDF,https://static.cninfo.com.cn/finalpage/2024-01-31/1219044121.PDF,264,PDF,SZZB,09020202||250101||251302
szse_a,大模型;模型备案,002530,002530,金财互联,9900016747,1219143745,关于“欣智悦财税大模型算法”备案通过的公告,2024-02-20,1708444800000,finalpage/2024-02-21/1219143745.PDF,https://static.cninfo.com.cn/finalpage/2024-02-21/1219143745.PDF,214,PDF,SZZB,09020202||250101||251302
sse_a,人工智能,600998,600998,九州通,9900015627,1219528849,九州通关于与北京大学武汉人工智能研究院共建人工智能联合实验室的公告,2024-04-07,1712505600000,finalpage/2024-04-08/1219528849.PDF,https://static.cninfo.com.cn/finalpage/2024-04-08/1219528849.PDF,180,PDF,SHZB,250401||251302
sse_a,人工智能,600998,600998,九州通,9900015627,1219537584,九州通关于与北京大学武汉人工智能研究院共建人工智能联合实验室的补充公告,2024-04-08,1712592000000,finalpage/2024-04-09/1219537584.PDF,https://static.cninfo.com.cn/finalpage/2024-04-09/1219537584.PDF,153,PDF,SHZB,250401||251302
bse_a,智谱,837592,837592,华信永道,gfbj0837592,1220187010,关于公司与智谱AI战略合作的进展公告,2024-05-27,1716825600000,finalpage/2024-05-28/1220187010.PDF,https://static.cninfo.com.cn/finalpage/2024-05-28/1220187010.PDF,126,PDF,BJS,251302||253301
szse_a,大模型;讯飞星火,002230,002230,科大讯飞,9900004565,1220444099,关于讯飞星火大模型升级发布会的提示性公告,2024-06-24,1719244800000,finalpage/2024-06-25/1220444099.PDF,https://static.cninfo.com.cn/finalpage/2024-06-25/1220444099.PDF,301,PDF,SZZB,09020202||250101||251302
szse_a,人工智能,002152,002152,广电运通,9900003423,1220850135,关于承接广州数据集团人工智能公共算力中心建设项目新增设备及配套服务采购项目暨关联交易的公告,2024-08-12,1723478400000,finalpage/2024-08-13/1220850135.PDF,https://static.cninfo.com.cn/finalpage/2024-08-13/1220850135.PDF,140,PDF,SZZB,09020202||250101||251302
bse_a,人工智能,872925,872925,锦好医疗,gfbj0872925,1220910473,关于入选人工智能医疗器械创新任务揭榜挂帅优胜单位名单的公告,2024-08-18,1723996800000,finalpage/2024-08-19/1220910473.PDF,https://static.cninfo.com.cn/finalpage/2024-08-19/1220910473.PDF,178,PDF,BJS,251302||253301
sse_a,人工智能,688118,688118,普元信息,9900023069,1221032246,普元信息技术股份有限公司关于参加2024年半年度软件及人工智能行业集体业绩说明会的公告,2024-08-28,1724860800000,finalpage/2024-08-29/1221032246.PDF,https://static.cninfo.com.cn/finalpage/2024-08-29/1221032246.PDF,170,PDF,SHKCB,251302||253201
sse_a,人工智能,688132,688132,邦彦技术,9900041778,1221114252,关于参加 2024年半年度科创板软件及人工智能专场集体业绩说明会的公告,2024-09-02,1725292800000,finalpage/2024-09-03/1221114252.PDF,https://static.cninfo.com.cn/finalpage/2024-09-03/1221114252.PDF,203,PDF,SHKCB,251302||253201
sse_a,人工智能,688479,688479,友车科技,gfbj0839951,1221113345,关于参加2024年半年度科创板软件及人工智能专场集体业绩说明会的公告,2024-09-02,1725292800000,finalpage/2024-09-03/1221113345.PDF,https://static.cninfo.com.cn/finalpage/2024-09-03/1221113345.PDF,175,PDF,SHKCB,251302||253201
sse_a,人工智能,688568,688568,中科星图,9900038994,1221114096,中科星图股份有限公司关于参加2024年半年度软件及人工智能专场集体业绩说明会的公告,2024-09-02,1725292800000,finalpage/2024-09-03/1221114096.PDF,https://static.cninfo.com.cn/finalpage/2024-09-03/1221114096.PDF,321,PDF,SHKCB,251302||253201
sse_a,人工智能,688039,688039,当虹科技,9900038989,1221123329,杭州当虹科技股份有限公司关于参加2024年半年度科创板软件及人工智能专场集体业绩说明会的公告,2024-09-03,1725379200000,finalpage/2024-09-04/1221123329.PDF,https://static.cninfo.com.cn/finalpage/2024-09-04/1221123329.PDF,180,PDF,SHKCB,251302||253201
sse_a,人工智能,688207,688207,格灵深瞳,9900047656,1221122236,格灵深瞳关于参加2024年半年度软件及人工智能专场集体业绩说明会的公告,2024-09-03,1725379200000,finalpage/2024-09-04/1221122236.PDF,https://static.cninfo.com.cn/finalpage/2024-09-04/1221122236.PDF,173,PDF,SHKCB,251302||253201
sse_a,人工智能,688228,688228,开普云,gfbj0870863,1221123972,关于参加2024年半年度软件及人工智能专场集体业绩说明会的公告,2024-09-03,1725379200000,finalpage/2024-09-04/1221123972.PDF,https://static.cninfo.com.cn/finalpage/2024-09-04/1221123972.PDF,121,PDF,SHKCB,251302||253201
sse_a,人工智能,688322,688322,奥比中光,9900048777,1221122391,关于参加2024年半年度科创板软件及人工智能专场集体业绩说明会的公告,2024-09-03,1725379200000,finalpage/2024-09-04/1221122391.PDF,https://static.cninfo.com.cn/finalpage/2024-09-04/1221122391.PDF,260,PDF,SHKCB,251302||253201
sse_a,人工智能,688365,688365,光云科技,9900039491,1221123733,光云科技：关于参加2024年半年度软件及人工智能专场集体业绩说明会的公告,2024-09-03,1725379200000,finalpage/2024-09-04/1221123733.PDF,https://static.cninfo.com.cn/finalpage/2024-09-04/1221123733.PDF,247,PDF,SHKCB,251302||253201
sse_a,人工智能,688004,688004,博汇科技,gfbj0871038,1221137172,博汇科技关于参加2024年半年度科创板软件及人工智能专场集体业绩说明会的公告,2024-09-04,1725465600000,finalpage/2024-09-05/1221137172.PDF,https://static.cninfo.com.cn/finalpage/2024-09-05/1221137172.PDF,171,PDF,SHKCB,251302||253201
sse_a,人工智能,688066,688066,航天宏图,fzqy1026111,1221138712,关于参加2024年半年度科创板软件及人工智能专场集体业绩说明会的公告,2024-09-04,1725465600000,finalpage/2024-09-05/1221138712.PDF,https://static.cninfo.com.cn/finalpage/2024-09-05/1221138712.PDF,168,PDF,SHKCB,251302||253201
